,strain,THC,CBD,Terpentines,MinorCanabanoids,Description,Feelings,HelpsWith,Negatives,type,rating,reviewCount
10,granddaddy-purple,15–19% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Pinene']",No relevant amounts,"Introduced in 2003 by Ken Estes, Granddaddy Purple (or GDP) is a famous indica cross of Purple Urkle and Big Bud. This California staple inherits a complex grape and berry aroma from its Purple Urkle parent, while Big Bud passes on its oversized, compact bud structure. GDP flowers bloom in shades of deep purple, a contrasting backdrop for its snow-like dusting of white crystal resin. 
 Its potent effects are clearly detectable in both mind and body, delivering a fusion of cerebral euphoria and physical relaxation. While your thoughts may float in a dreamy buzz, your body is more likely to find itself fixed in one spot for the duration of GDP’s effects. Granddaddy Purple is typically pulled off the shelf for consumers looking to combat pain, stress, insomnia, appetite loss, and muscle spasms. GDP blesses growers with massive yields which are ready for harvest following a 60 day flowering time indoors.","['Relaxed 60%', 'Sleepy 49%', 'Happy 47%', 'Euphoric 45%', 'Hungry 33%']","['Stress 40%', 'Pain 35%', 'Anxiety 31%', 'Insomnia 31%', 'Depression 22%']","['Dry mouth 31%', 'Dry eyes 18%', 'Dizzy 7%', 'Paranoid 5%', 'Headache 3%']",Indica,4.4 ,4714 reviews
11,white-widow,14–18% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",No relevant amounts,"Among the most famous strains worldwide is White Widow, a balanced hybrid first bred in the Netherlands by Green House Seeds. A cross between a Brazilian sativa landrace and a resin-heavy South Indian indica,  White Widow has blessed every Dutch coffee shop menu since its birth in the 1990s. Its buds are white with crystal resin, warning you of the potent effects to come. A powerful burst of euphoria and energy breaks through immediately, stimulating both conversation and creativity. White Widow’s genetics have given rise to many other legends like White Russian, White Rhino, and Blue Widow. Still, many growers prefer cultivation of the original White Widow, which flowers in about 60 days indoors.","['Happy 59%', 'Euphoric 56%', 'Uplifted 50%', 'Relaxed 45%', 'Creative 38%']","['Stress 38%', 'Pain 28%', 'Anxiety 28%', 'Depression 27%', 'Insomnia 14%']","['Dry mouth 36%', 'Dry eyes 21%', 'Dizzy 9%', 'Paranoid 8%', 'Anxious 4%']",Hybrid,4.3 ,3945 reviews
12,sunset-sherbert,16–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",No relevant amounts,"Heir to the GSC throne is Sherbert, also known as Sherbet and/or Sunset Sherbert, an indica-leaning hybrid with intoxicatingly potent effects. Bred by Mr. Sherbinski, Sherbert inherits the genetic lineage of its GSC parent, whose ancestors include the famed OG Kush, Cherry Pie, and Durban Poison. Crossed with Pink Panties, Sherbert exhibits powerful full-body effects elevated by a jolt of cerebral energy. A complex aroma colors Sherbert with notes of skunky citrus, sweet berry, and that candy-like smell redolent of its GSC parent. Stress, tension, and sour moods melt away with the carefree mindset and physical relaxation that comes with this rich hybrid.","['Relaxed 64%', 'Happy 55%', 'Euphoric 47%', 'Uplifted 39%', 'Creative 27%']","['Stress 33%', 'Depression 27%', 'Anxiety 24%', 'Pain 24%', 'Insomnia 14%']","['Dry mouth 20%', 'Dry eyes 10%', 'Anxious 4%', 'Dizzy 4%', 'Paranoid 3%']",Hybrid,4.6 ,1215 reviews
13,runtz,THC,CBD,[],No data yet. We're gathering more samples to provide you with reliable information.,"A hyped Cookies Family strain, Runtz is a cross of Zkittlez and Gelato that is rare and sought-after. Celebrated for its incredibly fruity profile that smells just like a bag of the sugary candy, the strain has resin-drenched buds that range in color from rich purple to lime green. Runtz is also noted for its creamy smoke that is smooth and welcoming alongside a euphoric and elevating high that lasts for hours. 
   
  ","['Happy 51%', 'Euphoric 50%', 'Uplifted 50%', 'Relaxed 46%', 'Creative 32%']","['Stress 21%', 'Anxiety 17%', 'Depression 15%', 'Lack of appetite 9%', 'Pain 9%']","['Dry mouth 11%', 'Dizzy 7%', 'Dry eyes 5%', 'Anxious 3%', 'Headache 1%']",Hybrid,4.7 ,94 reviews
14,pineapple-express,14–19% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",No relevant amounts,"Pineapple Express combines the potent and flavorful forces of parent strains Trainwreck and Hawaiian. The smell is likened to fresh apple and mango, with a taste of pineapple, pine, and cedar. This hard-hitting hybrid provides a long-lasting energetic buzz perfect for productive afternoons and creative escapes.","['Happy 67%', 'Uplifted 52%', 'Euphoric 48%', 'Energetic 44%', 'Relaxed 43%']","['Stress 34%', 'Depression 29%', 'Anxiety 25%', 'Pain 19%', 'Fatigue 12%']","['Dry mouth 29%', 'Dry eyes 16%', 'Paranoid 6%', 'Dizzy 6%', 'Anxious 4%']",Hybrid,4.4 ,3464 reviews
15,zkittlez,16–20% THC,< 1% CBD,"['Caryophyllene', 'Humulene', 'Linalool']",No relevant amounts,"Zkittlez is an indica-dominant mix of Grape Ape and Grapefruit that is crossed with another undisclosed strain to produce this candy-flavored strain bred by 3rd Gen Family and Terp Hogz. This award-winning combination took 1st Place at the 2016 Emerald Cup and 1st Place Indica at the 2015 Cannabis Cups in San Francisco and in Michigan. The chunky colas explode in a spectrum of light green hues and emit a sweet, tropical blend of fruit flavors. The effects of Zkittlez are calming, leaving consumers focused, alert, and happy while relaxing the body to help unwind any time of day.","['Relaxed 56%', 'Happy 35%', 'Euphoric 32%', 'Uplifted 27%', 'Sleepy 23%']","['Stress 23%', 'Depression 19%', 'Anxiety 19%', 'Pain 17%', 'Insomnia 12%']","['Dry mouth 19%', 'Dry eyes 11%', 'Headache 3%', 'Dizzy 3%', 'Anxious 3%']",Indica,4.6 ,480 reviews
16,northern-lights,14–19% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",No relevant amounts,"Northern Lights stands among the most famous strains of all time, a pure indica cherished for its resinous buds, fast flowering, and resilience during growth. Itself a descendant of indigenous Afghani and Thai landrace strains, Northern Lights has given rise to famous hybrids like Shiva Skunk and Super Silver Haze. Rumor has it that Northern Lights first sprouted near Seattle, Washington, but was propagated out of Holland after 1985 at what is now Sensi Seeds. 
 Pungently sweet, spicy aromas radiate from the crystal-coated buds, which sometimes reveal themselves in hues of purple. Northern Lights’ psychoactive effects settle in firmly throughout the body, relaxing muscles and pacifying the mind in dreamy euphoria. Comfortable laziness allows patients to relieve pain and sleeplessness, while its mellow contentment roots out depression and stress. Several different Northern Lights phenotypes circulate the market, but Sensi Seeds recommends a general indoor flowering time of 45 to 50 days.","['Relaxed 64%', 'Happy 53%', 'Euphoric 51%', 'Sleepy 43%', 'Uplifted 32%']","['Stress 42%', 'Pain 32%', 'Anxiety 31%', 'Insomnia 29%', 'Depression 25%']","['Dry mouth 34%', 'Dry eyes 17%', 'Dizzy 8%', 'Paranoid 5%', 'Headache 3%']",Indica,4.4 ,3011 reviews
17,mimosa,18–22% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Limonene']",No relevant amounts,"Mimosa by Symbiotic Genetics is a rising star in the cannabis community. A cross of Clementine and Purple Punch, this strain has garnered praise for its outstanding fruit punch, citrus rind aroma and pleasurable mid-level buzz. Like the beverage, there is no bad time to enjoy Mimosa, but if you enjoy too much, the trajectory of your day will need adjusting.  ","['Happy 52%', 'Uplifted 50%', 'Focused 46%', 'Energetic 44%', 'Relaxed 42%']","['Depression 24%', 'Stress 24%', 'Anxiety 21%', 'Pain 16%', 'Fatigue 15%']","['Dry mouth 13%', 'Dry eyes 12%', 'Anxious 3%', 'Dizzy 3%', 'Paranoid 2%']",Hybrid,4.5 ,394 reviews
18,do-si-dos,18–22% THC,< 1% CBD,"['Limonene', 'Caryophyllene', 'Linalool']",No relevant amounts,"Do-Si-Dos is an indica-dominant hybrid with qualities similar to its parent, OGKB, a GSC-phenotype. With glittering trichomes, bright pistils, and lime green and lavender leaves, this strain is a feast for eyes. Its aroma is pungent, sweet, and earthy with slight floral funkiness. These classic OG aromas blend nicely with medical-grade body effects that lean toward the sedative side with the addition of Face Off OG genetics. Enjoy a stoney, in-your-face buzz off the start that melts down over the body, prettifying the consumer with relaxation that emanates outward. ","['Relaxed 68%', 'Euphoric 43%', 'Happy 43%', 'Sleepy 38%', 'Uplifted 30%']","['Stress 32%', 'Pain 25%', 'Anxiety 25%', 'Insomnia 23%', 'Depression 20%']","['Dry mouth 21%', 'Dry eyes 11%', 'Dizzy 7%', 'Paranoid 3%', 'Anxious 2%']",Indica,4.7 ,579 reviews
19,bubba-kush,14–19% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",No relevant amounts,"Bubba Kush is an indica strain that has gained notoriety in the US and beyond for its heavy tranquilizing effects. Sweet hashish flavors with subtle notes of chocolate and coffee come through on the exhale, delighting the palate as powerful relaxation takes over. From head to toe, muscles ease with heaviness as dreamy euphoria blankets the mind, crushing stress while bringing happy moods. Bubba Kush exhibits a distinctive, bulky bud structure with hues that range from forest green to pale purple. 
 Bubba’s stocky plant stature and bulky bud structure suggest Afghani descent, but its genetic origins aren’t certain. The breeder whom this strain was named after states that Bubba Kush emerged just after 1996, when an OG Kush pollinated an unknown indica strain obtained in New Orleans. The mother plant was supposedly Northern Lights, but the genetically ambiguous indica was simply called “Bubba.” Bubba Kush has flourished from its California roots ever since. 
  ","['Relaxed 64%', 'Sleepy 54%', 'Happy 52%', 'Euphoric 47%', 'Hungry 37%']","['Stress 40%', 'Pain 37%', 'Insomnia 32%', 'Anxiety 30%', 'Depression 22%']","['Dry mouth 39%', 'Dry eyes 22%', 'Dizzy 10%', 'Paranoid 7%', 'Headache 4%']",Indica,4.2 ,3180 reviews
20,durban-poison,14–19% THC,< 1% CBD,"['Terpinolene', 'Myrcene', 'Ocimene']",No relevant amounts,"This pure sativa originates from the South African port city of Durban. It has gained popularity worldwide for its sweet smell and energetic, uplifting effects. Durban Poison is the perfect strain to help you stay productive through a busy day, when exploring the outdoors, or to lend a spark of creativity. Growers and concentrate enthusiasts will both enjoy the over-sized resin glands which make this strain a quality choice for concentrate extraction. The buds are round and chunky, and leave a thick coating of trichomes on almost all areas of the plant.","['Energetic 59%', 'Uplifted 58%', 'Happy 52%', 'Euphoric 46%', 'Creative 43%']","['Stress 32%', 'Depression 27%', 'Anxiety 23%', 'Pain 18%', 'Fatigue 16%']","['Dry mouth 22%', 'Dry eyes 13%', 'Anxious 6%', 'Paranoid 6%', 'Dizzy 5%']",Sativa,4.4 ,3068 reviews
21,forbidden-fruit,14–17% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",No relevant amounts,"Forbidden Fruit is the mouthwatering cross of Cherry Pie x Tangie. This sumptuous genetic cross expresses a beautiful dense bud structure with deep purple hues, dark green foliage, and wiry orange hairs. The terpene profile is a perfect mixture of Cherry Pie’s musky, sweet cherry undertones and Tangie’s loud tropical flavors. There are also notes of pine, mango, and passionfruit candy. The effects hit hard between the eyes and lay into the body with each hit. Forbidden Fruit’s deep physical relaxation and mental stoniness make it perfect for dulling minor physical discomfort and discarding stress. ","['Relaxed 76%', 'Happy 53%', 'Euphoric 47%', 'Sleepy 35%', 'Uplifted 32%']","['Stress 31%', 'Anxiety 27%', 'Pain 25%', 'Depression 22%', 'Insomnia 21%']","['Dry mouth 18%', 'Dry eyes 10%', 'Dizzy 1%', 'Headache 1%', 'Paranoid 1%']",Indica,4.7 ,552 reviews
22,chemdawg,16–22% THC,< 1% CBD,"['Caryophyllene', 'Myrcene', 'Limonene']",No relevant amounts,"Chemdog has developed quite the name for itself over the years. Between its mysterious origin, ambiguous genetics, and the plethora of successful crosses the strain has produced, Chemdog has practically secured itself a permanent place in the cannabis hall of fame. The original source of powerhouse strains like Sour Diesel and OG Kush, Chemdog is known for its distinct, diesel-like aroma. Pungent and sharp, you’ll be able to smell this strain from a mile away.  
 Cannabis newbies be warned: Chemdog tends to be very potent. Consumers can expect to have a cerebral experience, coupled with a strong heavy-bodied feeling. ","['Happy 54%', 'Euphoric 54%', 'Relaxed 51%', 'Uplifted 46%', 'Creative 33%']","['Stress 39%', 'Pain 31%', 'Anxiety 30%', 'Depression 26%', 'Insomnia 15%']","['Dry mouth 32%', 'Dry eyes 19%', 'Dizzy 8%', 'Paranoid 5%', 'Anxious 4%']",Hybrid,4.2 ,2141 reviews
23,ak-47,14–18% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Pinene']",No relevant amounts,"Don't let its intense name fool you: AK-47 will leave you relaxed and mellow. This sativa-dominant strain mixes Colombian, Mexican, Thai, and Afghani varieties, bringing together a complex blend of flavors and effects. AK-47 may deliver a steady and long-lasting cerebral buzz that will keep you mentally alert and engaged in creative or social activities. While its scent is sour and earthy, its sweet, floral notes can only be fully realized in the taste.  
  ","['Happy 59%', 'Euphoric 47%', 'Uplifted 46%', 'Relaxed 45%', 'Creative 36%']","['Stress 40%', 'Anxiety 29%', 'Pain 27%', 'Depression 25%', 'Insomnia 17%']","['Dry mouth 41%', 'Dry eyes 24%', 'Dizzy 10%', 'Paranoid 9%', 'Headache 6%']",Hybrid,4 ,2758 reviews
24,trainwreck,14–19% THC,< 1% CBD,"['Terpinolene', 'Myrcene', 'Caryophyllene']",No relevant amounts,"Trainwreck is a mind-bending, potent sativa with effects that hit like a freight train. Mexican and Thai sativas were bred with Afghani indicas to produce this Northern California staple, passing on a sweet lemon and spicy pine aroma. Trainwreck begins its speedy hurtle through the mind with a surge of euphoria, awakening creativity and happiness. Migraines, pain, and arthritis are mowed down by Trainwreck’s high-THC content, and many patients also use it for relief of anxiety, ADD/ADHD, and PTSD. Trainwreck flowers tend to finish early when growing outdoors, while indoor gardens are ready for harvest after 8 weeks.","['Euphoric 58%', 'Happy 52%', 'Uplifted 47%', 'Relaxed 40%', 'Creative 35%']","['Stress 38%', 'Anxiety 29%', 'Pain 27%', 'Depression 25%', 'Insomnia 14%']","['Dry mouth 32%', 'Dry eyes 21%', 'Dizzy 11%', 'Paranoid 10%', 'Anxious 5%']",Hybrid,4.2 ,2854 reviews
25,super-lemon-haze,15–20% THC,< 1% CBD,"['Terpinolene', 'Caryophyllene', 'Ocimene']",,"A sativa-dominant hybrid of Lemon Skunk and Super Silver Haze and two time Cannabis Cup winner from Green House Seeds. Super Lemon Haze is a kief-caked multi-colored wonder. As the name states this strain has real lemony characteristics. The smell is zesty, citrusy, and a little sweet. As for the taste, it's everything one would expect from the namesake; tart and sweet like lemonheads candy - not quite as sharp as one might expect. The effects are uniquely energetic and lively, may not be the best strain for those of us that are naturally wound-up tight.","['Happy 57%', 'Uplifted 55%', 'Energetic 55%', 'Euphoric 51%', 'Creative 42%']","['Stress 35%', 'Depression 27%', 'Anxiety 25%', 'Pain 18%', 'Fatigue 16%']","['Dry mouth 29%', 'Dry eyes 17%', 'Paranoid 8%', 'Dizzy 6%', 'Anxious 6%']",Sativa,4.4 ,2014 reviews
26,amnesia-haze,16–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",,"With earthy flavors of lemons and citrus, Amnesia Haze is a perfect strain to start your day with a smile. The uplifting, energetic buzz is one you won’t soon forget. Its genetics have been traced back to the South Asian and Jamaican landrace strains, and this Cannabis Cup winner (1st place 2004, 1st place Sativa Cup 2012) has since been popularized in the coffee shops of Amsterdam.","['Happy 70%', 'Euphoric 64%', 'Uplifted 59%', 'Energetic 45%', 'Creative 45%']","['Stress 38%', 'Depression 31%', 'Anxiety 25%', 'Pain 23%', 'Fatigue 14%']","['Dry mouth 42%', 'Dry eyes 22%', 'Paranoid 15%', 'Dizzy 13%', 'Anxious 6%']",Sativa,4.2 ,1385 reviews
27,lemon-haze,16–19% THC,< 1% CBD,"['Terpinolene', 'Caryophyllene', 'Ocimene']",No relevant amounts,"Lemon Haze has been characterized as smelling of fresh peeled lemon slices with a similar taste. Its buds appear to be green and yellow with amber hairs on the trichomes, giving it the yellow tint. ","['Happy 67%', 'Uplifted 54%', 'Euphoric 53%', 'Energetic 46%', 'Relaxed 43%']","['Stress 34%', 'Depression 27%', 'Anxiety 24%', 'Pain 19%', 'Fatigue 11%']","['Dry mouth 38%', 'Dry eyes 19%', 'Dizzy 10%', 'Paranoid 10%', 'Anxious 6%']",Sativa,4.2 ,2264 reviews
28,stardawg,18–22% THC,< 1% CBD,"['Caryophyllene', 'Myrcene', 'Limonene']",No relevant amounts,"Stardawg, possibly named after the bright, sparkling crystal trichomes that blanket the strain like stars, is a hybrid cross between Chemdog 4 and Tres Dawg. Earthy pine with sour notes of diesel color Stardawg, whose uplifting effects may help patients treating stress, fatigue, and anxiety disorders. Stardawg flowers in 67 days indoors with moderate yields. ","['Happy 64%', 'Relaxed 56%', 'Euphoric 50%', 'Uplifted 49%', 'Focused 34%']","['Stress 30%', 'Depression 28%', 'Anxiety 24%', 'Pain 18%', 'Lack of appetite 15%']","['Dry mouth 32%', 'Dry eyes 14%', 'Dizzy 10%', 'Anxious 4%', 'Paranoid 2%']",Hybrid,4.4 ,537 reviews
29,cherry-pie,14–18% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Pinene']",No relevant amounts,"Cherry Pie's parents are Granddaddy Purple and Durban Poison. With buds that are dense and full of orange hairs and a touch of purple, this strain smells of sweet and sour cherry pie. The effects have been known to come on in minutes and stick around for a couple hours. ","['Relaxed 60%', 'Happy 59%', 'Euphoric 51%', 'Uplifted 45%', 'Creative 30%']","['Stress 36%', 'Depression 28%', 'Anxiety 25%', 'Pain 23%', 'Insomnia 15%']","['Dry mouth 27%', 'Dry eyes 15%', 'Dizzy 6%', 'Anxious 4%', 'Paranoid 4%']",Hybrid,4.3 ,1803 reviews
